game_id,commence_time,home_team,away_team,home_odds,away_odds
upcoming,2022-12-23 New Orleans Pelicans,New Orleans Pelicans,San Antonio Spurs,-350,290
upcoming,2022-12-23 Utah Jazz,Utah Jazz,Washington Wizards,-250,210
upcoming,2022-12-24 Philadelphia 76ers,Philadelphia 76ers,Los Angeles Clippers,135,-155
upcoming,2022-12-24 Orlando Magic,Orlando Magic,San Antonio Spurs,-240,200
upcoming,2022-12-24 Atlanta Hawks,Atlanta Hawks,Detroit Pistons,-450,360
upcoming,2022-12-24 Boston Celtics,Boston Celtics,Minnesota Timberwolves,-390,320
upcoming,2022-12-24 Brooklyn Nets,Brooklyn Nets,Milwaukee Bucks,-150,130
upcoming,2022-12-24 New York Knicks,New York Knicks,Chicago Bulls,185,-215
upcoming,2022-12-24 Cleveland Cavaliers,Cleveland Cavaliers,Toronto Raptors,-180,155
upcoming,2022-12-24 Houston Rockets,Houston Rockets,Dallas Mavericks,-230,195
upcoming,2022-12-24 Miami Heat,Miami Heat,Indiana Pacers,180,-210
upcoming,2022-12-24 Denver Nuggets,Denver Nuggets,Portland Trail Blazers,-210,180
upcoming,2022-12-24 Phoenix Suns,Phoenix Suns,Memphis Grizzlies,100,-120
upcoming,2022-12-24 Sacramento Kings,Sacramento Kings,Washington Wizards,-330,275
upcoming,2022-12-24 Los Angeles Lakers,Los Angeles Lakers,Charlotte Hornets,145,-170
upcoming,2022-12-25 New York Knicks,New York Knicks,Philadelphia 76ers,115,-135
upcoming,2022-12-25 Dallas Mavericks,Dallas Mavericks,Los Angeles Lakers,-300,250
upcoming,2022-12-25 Boston Celtics,Boston Celtics,Milwaukee Bucks,-165,140
upcoming,2022-12-26 Golden State Warriors,Golden State Warriors,Memphis Grizzlies,140,-165
upcoming,2022-12-26 Denver Nuggets,Denver Nuggets,Phoenix Suns,-140,120
game_id,commence_time,home_team,away_team,home_odds,away_odds
upcoming,2022-12-29 Detroit Pistons,Detroit Pistons,Orlando Magic,105,-125
upcoming,2022-12-29 Washington Wizards,Washington Wizards,Phoenix Suns,-120,100
upcoming,2022-12-29 Atlanta Hawks,Atlanta Hawks,Brooklyn Nets,195,-230
upcoming,2022-12-29 Miami Heat,Miami Heat,Los Angeles Lakers,250,-300
upcoming,2022-12-29 Chicago Bulls,Chicago Bulls,Milwaukee Bucks,160,-190
upcoming,2022-12-29 New Orleans Pelicans,New Orleans Pelicans,Minnesota Timberwolves,225,-265
upcoming,2022-12-29 Sacramento Kings,Sacramento Kings,Denver Nuggets,-135,115
upcoming,2022-12-29 Golden State Warriors,Golden State Warriors,Utah Jazz,130,-150
game_id,commence_time,home_team,away_team,home_odds,away_odds
upcoming,2022-12-29 Detroit Pistons,Detroit Pistons,Orlando Magic,-105,-115
upcoming,2022-12-29 Washington Wizards,Washington Wizards,Phoenix Suns,-130,110
upcoming,2022-12-29 Atlanta Hawks,Atlanta Hawks,Brooklyn Nets,265,-320
upcoming,2022-12-29 Miami Heat,Miami Heat,Los Angeles Lakers,330,-410
upcoming,2022-12-29 Chicago Bulls,Chicago Bulls,Milwaukee Bucks,120,-140
upcoming,2022-12-29 New Orleans Pelicans,New Orleans Pelicans,Minnesota Timberwolves,200,-240
upcoming,2022-12-29 Sacramento Kings,Sacramento Kings,Denver Nuggets,-120,100
upcoming,2022-12-29 Golden State Warriors,Golden State Warriors,Utah Jazz,170,-200
upcoming,2022-12-30 Charlotte Hornets,Charlotte Hornets,Oklahoma City Thunder,-115,-105
upcoming,2022-12-30 Indiana Pacers,Indiana Pacers,Cleveland Cavaliers,-225,190
upcoming,2022-12-30 Boston Celtics,Boston Celtics,Los Angeles Clippers,-215,185
upcoming,2022-12-30 Toronto Raptors,Toronto Raptors,Memphis Grizzlies,-140,120
upcoming,2022-12-30 San Antonio Spurs,San Antonio Spurs,New York Knicks,-200,170
upcoming,2022-12-30 Dallas Mavericks,Dallas Mavericks,Houston Rockets,-750,550
game_id,commence_time,home_team,away_team,home_odds,away_odds
upcoming,2022-12-31 Indiana Pacers,Indiana Pacers,Los Angeles Clippers,130,-150
upcoming,2023-01-01 Charlotte Hornets,Charlotte Hornets,Brooklyn Nets,-240,200
upcoming,2023-01-01 Chicago Bulls,Chicago Bulls,Cleveland Cavaliers,120,-140
upcoming,2023-01-01 San Antonio Spurs,San Antonio Spurs,Dallas Mavericks,-265,225
upcoming,2023-01-01 Houston Rockets,Houston Rockets,New York Knicks,145,-170
